import time: self [us] | cumulative | imported package
import time:      1907 |       1907 |             numpy.ma.extras
import time:       668 |       6913 |           numpy.ma
import time:      4182 |     153838 |         numpy
import time:    393211 |     547049 |       torch._C
import time:       630 |        630 |         copy
import time:      1074 |       1074 |             torch.utils.throughput_benchmark
import time:       747 |        747 |             torch.utils.cpp_backtrace
import time:      1126 |       1126 |             torch.utils.backend_registration
import time:       647 |        647 |             torch.utils.deterministic
import time:        99 |         99 |                 _locale
import time:      1357 |       1455 |               locale
import time:      1115 |       1115 |                 signal
import time:      1938 |       1938 |                 fcntl
import time:       124 |        124 |                 msvcrt
import time:      1377 |       1377 |                 _posixsubprocess
import time:      1601 |       1601 |                 select
import time:      1234 |       1234 |                 selectors
import time:      1727 |       9115 |               subprocess
import time:      1386 |      11954 |             torch.utils.collect_env
import time:      1043 |      16588 |           torch.utils
import time:       931 |      17519 |         torch.utils.hooks
import time:       702 |        702 |         torch._namedtensor_internals
import time:      2781 |       2781 |         torch.overrides
import time:       917 |        917 |         torch.utils.dlpack
import time:      1597 |      24143 |       torch._tensor
import time:      3316 |       3316 |         torch.types
import time:      1466 |       4781 |       torch.storage
import time:       634 |        634 |       torch.random
import time:      1409 |       1409 |             _heapq
import time:       562 |       1970 |           heapq
import time:      1219 |       3188 |         difflib
import time:        97 |         97 |           pwd
import time:      1806 |       1806 |           grp
import time:      2840 |       4742 |         tarfile
import time:       977 |        977 |         torch._sources
import time:      2430 |       2430 |           _socket
import time:      2870 |       5299 |         typing_extensions
import time:       752 |        752 |         torch._weights_only_unpickler
import time:      1833 |      16789 |       torch.serialization
import time:      1041 |       1041 |         dataclasses
import time:      1677 |       2717 |       torch._tensor_str
import time:       960 |        960 |         torch.amp.autocast_mode
import time:       502 |       1461 |       torch.amp
import time:       721 |        721 |         torch.cuda._utils
import time:        64 |         64 |           gc
import time:      4395 |       4395 |           torch.utils._pytree
import time:       816 |       5274 |         torch.cuda.graphs
import time:       510 |        510 |           torch._streambase
import time:       834 |       1344 |         torch.cuda.streams
import time:        98 |         98 |         pynvml
import time:       801 |        801 |           torch.cuda._memory_viz
import time:      1007 |       1807 |         torch.cuda.memory
import time:       808 |        808 |         torch.cuda.random
import time:       720 |        720 |           torch.cuda.amp.autocast_mode
import time:       682 |        682 |                 importlib._abc
import time:       222 |        903 |               importlib.util
import time:       641 |       1544 |             torch.cuda.amp.common
import time:      1137 |       2680 |           torch.cuda.amp.grad_scaler
import time:       609 |       4009 |         torch.cuda.amp
import time:       536 |        536 |         torch.cuda.jiterator
import time:       531 |        531 |         torch.cuda.nvtx
import time:       526 |        526 |         torch.cuda.profiler
import time:       483 |        483 |         torch.cuda.sparse
import time:      4923 |      21055 |       torch.cuda
import time:      1145 |       1145 |         torch.sparse.semi_structured
import time:       896 |       2041 |       torch.sparse
import time:       704 |        704 |       torch._compile
import time:      2532 |       2532 |                 torch._prims_common
import time:       860 |        860 |                 torch.nn.parameter
import time:      4690 |       8081 |               torch.nn.modules.module
import time:       497 |        497 |                   torch._VF
import time:      3092 |       3092 |                   torch._torch_docs
import time:       631 |        631 |                           cmd
import time:       840 |        840 |                           bdb
import time:       369 |        369 |                             codeop
import time:       554 |        923 |                           code
import time:       708 |        708 |                           glob
import time:       720 |        720 |                           pprint
import time:      1396 |       5214 |                         pdb
import time:       437 |        437 |                           torch.distributed.constants
import time:       516 |        516 |                             torch.distributed.logging_handlers
import time:       595 |       1110 |                           torch.distributed.c10d_logger
